move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2011	in rage 1+2	m	55  (10,7,7,31)	20 pc8~17	-22	KND	KND	Rage art		
1700	in rage d/b+2, 4	m, h (TJ)	12,12	(14)	+6~+7	KND	KND	Rage art, Tail spin
	in rage d/b+2, 4, D/F	m, h (TJ), (SNK)	12,12	(14)	+19~+20g	KND	KND	Rage art, Tail spin
1611	1	h	7	10	+1	+8	+8	 
1562	1, 2	h, h	7,9	10	-1	+5	+5	 
1563	1, 2, 2	h, h, m	7,9,17	10	-11~-10	+3~+4	CS (12~13)	 
1571	1, 2, 3	h, h, h	7,9,18	10	-8	+3	+3	 
	1, 2, 3, D/F	h, h, h (SNK)	7,9,18	10	-1	+10g	+10g	 
	1, 2, 3, D/F, D/B (Cancel)	h, h, h (SNK)	7,9,18	10	-2	+9	+9	 
1570	1, 2, 4	h, h, m	7,9,20	10	-13~-11	KND	KND	 
1574	2	h	10	10	0	+6	+6	 
1999	2, 1	h, m	10,7	10	-4~-3	+2~+3	+2~+3	 
1575	2, 3	h, h	10,18	10	-8	+3	+3	 
	2, 3, D/F	h, h (SNK)	10,18	10	-1	+10g	+10g	 
	2, 3, D/F, D/B (Cancel)	h, h (SNK)	10,18	10	-2	+9	+9	 
1584	3 or 3+4	h	20	14	-8	+3	+3	 
	3, D/F	h, (SNK)	20	14s	-1	+10g	+10g	 
	3, D/F, D/B (Cancel)	h, (SNK)	20	14s	-2	+9	+9	 
1588	4	h	16	11	-10	+1	KND	 
1598	4, 1	h, h	16,12	11	-5	+4	+4	 
1600	4, 3	h, h	16,21	11	-1~0	KND	KND	Tail spin
1601	4, 4	h, m	16,25	11	-13~-12	KND	KND	 
1613	f+2	h	12	12	-8	-2	-2	 
1614	f+2, 3	h, h	12,20	12	-12	KND	KND	 
1617	f+2, 4	h, l	12,13	12	-13~-12	-2~-1	KND	 
	f+2, 4, D/F	h, l, (SNK)	12,13	12	-4~-3	+7~+8	KND	 
